exp,bin_ms,pipeline,kind,n_neurons,pc95,pr,top_frac
NPBI,1,raw,real,70,60,42.27199018171135,0.075829926770482
NPBI,1,paper,real,70,49,6.947550781267967,0.3514294100841137
NPBI,5,raw,real,70,59,31.000903318864136,0.12310122124890267
NPBI,5,paper,real,70,49,7.167347549079112,0.3452513723655367
NPBI,10,raw,real,70,59,22.693521177188035,0.16514087126212706
NPBI,10,paper,real,70,49,6.920882532910524,0.3546233504440515
NPBI,50,raw,real,70,56,11.703417905876897,0.263817111774458
NPBI,50,paper,real,70,35,5.808608645953967,0.3841811352789828
NPBI,100,raw,real,70,56,10.449834301181115,0.2816839759874436
NPBI,100,paper,real,70,26,9.847657545839708,0.21732715418047802
NPBI,300,raw,real,70,53,7.960063734653257,0.3305833040840511
NPBI,300,paper,real,70,11,5.227606396588346,0.3647016376970497
NPBI,1,raw,null,70,61,43.9406959995558,0.0690294457312758
NPBI,1,paper,null,70,56,33.72969725774815,0.08715434425568874
NPBI,5,raw,null,70,61,43.404541135573155,0.07175311069327467
NPBI,5,paper,null,70,56,33.66587557505108,0.08788259298525415
NPBI,10,raw,null,70,60,41.23210041578056,0.07639730754974142
NPBI,10,paper,null,70,57,34.701351985353284,0.08672768548053951
NPBI,50,raw,null,70,59,32.13511677448682,0.10821234094952346
NPBI,50,paper,null,70,43,20.096493188255636,0.14660617723087563
NPBI,100,raw,null,70,58,24.48448120690096,0.15059999255373327
NPBI,100,paper,null,70,29,12.975077953071331,0.2043930510339002
NPBI,300,raw,null,70,53,7.960063734653257,0.3305833040840511
NPBI,300,paper,null,70,11,5.227606396588346,0.3647016376970497
NPBI,1,raw,null,70,61,43.94201016506735,0.06903070412276562
NPBI,1,paper,null,70,57,35.04946645028401,0.08486299354290158
NPBI,5,raw,null,70,61,43.49954528036575,0.07102031639109566
NPBI,5,paper,null,70,57,35.1635969488616,0.08498554124041885
NPBI,10,raw,null,70,60,41.08626048239946,0.07715450714559953
NPBI,10,paper,null,70,57,36.250594181332914,0.08178427263270888
NPBI,50,raw,null,70,59,32.590137285239884,0.10626369700922206
NPBI,50,paper,null,70,43,21.16252507143424,0.13404183525139826
NPBI,100,raw,null,70,58,24.38075895231099,0.15104020800405218
NPBI,100,paper,null,70,29,13.329581062618093,0.19712242994879742
NPBI,300,raw,null,70,53,7.960063734653257,0.3305833040840511
NPBI,300,paper,null,70,11,5.227606396588346,0.3647016376970497
NPBI,1,raw,null,70,61,43.94038071863493,0.0690321222243926
NPBI,1,paper,null,70,57,34.99117455827592,0.08016308132201379
NPBI,5,raw,null,70,60,43.525318897696266,0.07106588050853206
NPBI,5,paper,null,70,57,35.01315678430482,0.08081137643142262
NPBI,10,raw,null,70,60,41.143161710217804,0.07641215676505338
NPBI,10,paper,null,70,57,35.864172688678096,0.07784809991043257
NPBI,50,raw,null,70,59,32.394325971796704,0.10745652395469049
NPBI,50,paper,null,70,43,20.55387050806389,0.13897472061402044
NPBI,100,raw,null,70,58,24.009937989320175,0.1527918901336885
NPBI,100,paper,null,70,30,12.362191188944063,0.20891656413165144
NPBI,300,raw,null,70,53,7.960063734653257,0.3305833040840511
NPBI,300,paper,null,70,11,5.227606396588346,0.3647016376970497
NPBI,1,raw,null,70,61,43.942627826356876,0.06902833603291933
NPBI,1,paper,null,70,56,34.70177028813301,0.08164435686329234
NPBI,5,raw,null,70,60,43.435378561269154,0.07135612655980926
NPBI,5,paper,null,70,56,34.77384088703705,0.08195110178029347
NPBI,10,raw,null,70,60,41.1370884964494,0.0758436822779292
NPBI,10,paper,null,70,57,36.110510819500014,0.07697224095548047
NPBI,50,raw,null,70,59,32.203654356888556,0.10722252260233683
NPBI,50,paper,null,70,43,22.48378527379756,0.12744232166919583
NPBI,100,raw,null,70,58,24.17011629891709,0.15130538672235871
NPBI,100,paper,null,70,29,13.351750312076536,0.1982809137072047
NPBI,300,raw,null,70,53,7.960063734653257,0.3305833040840511
NPBI,300,paper,null,70,11,5.227606396588346,0.3647016376970497
NPBI,1,raw,null,70,61,43.94212437058705,0.06902395831796623
NPBI,1,paper,null,70,56,34.372088094844806,0.08538363770255668
NPBI,5,raw,null,70,60,43.58967462441845,0.07091568295693723
NPBI,5,paper,null,70,56,34.272081635715274,0.08655063405833897
NPBI,10,raw,null,70,60,41.12210421070227,0.07668110591939505
NPBI,10,paper,null,70,57,35.76966454803227,0.08325453856636864
NPBI,50,raw,null,70,59,32.31433099569897,0.1065918803307612
NPBI,50,paper,null,70,42,21.012520268073057,0.12720027662128672
NPBI,100,raw,null,70,58,24.41700549978735,0.15022559163154398
NPBI,100,paper,null,70,28,12.729568787211143,0.1973010078083932
NPBI,300,raw,null,70,53,7.960063734653257,0.3305833040840511
NPBI,300,paper,null,70,11,5.227606396588346,0.3647016376970497
NPBI,1,raw,null,70,61,43.94260470927283,0.06903043232539798
NPBI,1,paper,null,70,57,34.55510884337049,0.086503205110025
NPBI,5,raw,null,70,60,43.34179037744824,0.07193521382466145
NPBI,5,paper,null,70,57,34.31184376318533,0.08761168117917521
